[2026-07-24T19:41:00.510Z] GET http://localhost:8471/index.html → 200 (7ms, 16697B)
[2026-07-24T19:41:00.520Z] GET https://fonts.googleapis.com/css2?family=Zilla+Slab:wght@600;700&family=Inter:wght@400;500;600&display=swap → 200 (278ms, 9271B)
[2026-07-24T19:41:00.520Z] GET http://localhost:8471/styles.css → 200 (2ms, 20593B)
[2026-07-24T19:41:00.520Z] GET http://localhost:8471/main.js → 200 (3ms, 4804B)
[2026-07-24T19:41:00.834Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYoEf6HOpW3pwfa0.woff2 → pending (?ms, ?B)
[2026-07-24T19:41:00.834Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → pending (?ms, ?B)
[2026-07-24T19:41:00.834Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYuUe6HOpW3pwfa0.woff2 → pending (?ms, ?B)
[2026-07-24T19:41:16.676Z] GET http://localhost:8471/index.html → 200 (5ms, 16697B)
[2026-07-24T19:41:16.698Z] GET https://fonts.googleapis.com/css2?family=Zilla+Slab:wght@600;700&family=Inter:wght@400;500;600&display=swap → 200 (?ms, 9271B)
[2026-07-24T19:41:16.698Z] GET http://localhost:8471/styles.css → 304 (?ms, ?B)
[2026-07-24T19:41:16.698Z] GET http://localhost:8471/main.js → 304 (1ms, ?B)
[2026-07-24T19:41:16.706Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-07-24T19:41:16.706Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYuUe6HOpW3pwfa0.woff2 → 200 (1ms, ?B)
[2026-07-24T19:41:16.707Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYoEf6HOpW3pwfa0.woff2 → 200 (?ms, ?B)
[2026-07-24T19:43:00.596Z] GET http://localhost:8471/index.html → 200 (25ms, 16812B)
[2026-07-24T19:43:00.655Z] GET https://fonts.googleapis.com/css2?family=Zilla+Slab:wght@600;700&family=Inter:wght@400;500;600&display=swap → 200 (?ms, 9271B)
[2026-07-24T19:43:00.655Z] GET http://localhost:8471/styles.css → 304 (?ms, ?B)
[2026-07-24T19:43:00.655Z] GET http://localhost:8471/main.js → 304 (1ms, ?B)
[2026-07-24T19:43:00.685Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, ?B)
[2026-07-24T19:43:00.686Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYuUe6HOpW3pwfa0.woff2 → 200 (?ms, ?B)
[2026-07-24T19:43:00.686Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYoEf6HOpW3pwfa0.woff2 → 200 (?ms, ?B)
[2026-07-24T19:43:31.222Z] GET http://localhost:8471/index.html → 200 (26ms, 16812B)
[2026-07-24T19:43:31.276Z] GET https://fonts.googleapis.com/css2?family=Zilla+Slab:wght@600;700&family=Inter:wght@400;500;600&display=swap → 200 (?ms, 9271B)
[2026-07-24T19:43:31.276Z] GET http://localhost:8471/styles.css → 304 (?ms, ?B)
[2026-07-24T19:43:31.276Z] GET http://localhost:8471/main.js → 304 (1ms, ?B)
[2026-07-24T19:43:31.290Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-07-24T19:43:31.290Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYuUe6HOpW3pwfa0.woff2 → 200 (?ms, ?B)
[2026-07-24T19:43:31.290Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYoEf6HOpW3pwfa0.woff2 → 200 (?ms, ?B)
[2026-07-24T19:44:22.470Z] GET http://localhost:8471/index.html → 200 (27ms, 16812B)
[2026-07-24T19:44:22.532Z] GET https://fonts.googleapis.com/css2?family=Zilla+Slab:wght@600;700&family=Inter:wght@400;500;600&display=swap → 200 (?ms, 9271B)
[2026-07-24T19:44:22.533Z] GET http://localhost:8471/styles.css → 304 (?ms, ?B)
[2026-07-24T19:44:22.533Z] GET http://localhost:8471/main.js → 304 (?ms, ?B)
[2026-07-24T19:44:22.557Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-07-24T19:44:22.558Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYuUe6HOpW3pwfa0.woff2 → 200 (?ms, ?B)
